logFC	AveExpr	t	P.Value	adj.P.Val	B	gene.symbols
204779_s_at	7.36778985477249	4.17170707056104	72.7734744597556	3.28493743066917e-15	8.96985014818524e-11	20.2576158242815	HOXB7
207016_s_at	6.93666734999582	4.02773333762995	57.3925210303835	3.69464086400815e-14	5.04429317163033e-10	19.4498717935332	NA
209631_s_at	5.19294899418517	4.0039915445081	51.2489246614337	1.17027298690793e-13	1.0651824726836e-09	18.9666021856366	NA
242809_at	6.43323801971279	4.16886980362235	48.5184181913237	2.04308217592526e-13	1.39471004739538e-09	18.7085223214773	IL1RL1
205893_at	4.48033146884652	3.54371380648683	40.5647732358699	1.26139984801458e-12	6.88875684997724e-09	17.7505020608844	NLGN1
204882_at	-5.35354698292482	6.51369007582629	-34.7064644331806	6.14128821764495e-12	2.39562880101447e-08	16.7739638082793	ARHGAP25
38149_at	-5.05426727162079	6.48378410901497	-31.4581652900697	1.66157735349537e-11	5.28289091106362e-08	16.093582754251	ARHGAP25
205576_at	6.58639333653611	4.13962403991259	31.3129402481366	1.74122970041649e-11	5.28289091106362e-08	16.0603593163285	SERPIND1
209990_s_at	6.44836828099984	4.22821422223151	30.3479215241071	2.3899109725927e-11	5.93262809251057e-08	15.8328794515575	GABBR2
211828_s_at	4.65078471512691	3.71430948579529	29.9184402325113	2.76039521575733e-11	6.28127931345581e-08	15.7277549241641	TNIK
243154_at	4.21396806942376	3.47619857145018	28.2481841972753	4.93221174260519e-11	1.03599210648906e-07	15.2945072859542	NA
228109_at	-4.70834408926462	7.35952776203253	-27.5814836424061	6.27696146846589e-11	1.07124193661206e-07	15.1099969284366	RASGRF2
207526_s_at	7.83857204854724	5.34267238007388	26.6676739911419	8.81760770162418e-11	1.41631527000324e-07	14.8455075669317	IL1RL1
231780_at	5.26177539023143	5.40503753265474	26.0564389325599	1.11392369714582e-10	1.68453045032433e-07	14.6607030962129	GBGT1
204239_s_at	4.2799857756922	4.68492567014617	25.9250649324456	1.17212621973787e-10	1.68453045032433e-07	14.6201225469072	NNAT
206837_at	4.84754691526811	3.65402458901732	24.4056838495863	2.15283316973485e-10	2.67205738785363e-07	14.12738165108	ALX1
203373_at	-4.11061393381769	10.4412465335214	-23.9731432210174	2.57688884393539e-10	3.05932725097825e-07	13.9787937229383	SOCS2
209993_at	-6.42771561011876	7.21496170119591	-22.5420689256311	4.78101208040297e-10	5.22201263469934e-07	13.4584978167712	ABCB1
227875_at	4.75129851026591	3.66307506110966	22.4362525807798	5.01205359567117e-10	5.26381290320757e-07	13.4181823144471	KLHL13
223503_at	5.52432971308269	4.35702060037035	21.546061696622	7.52001890218373e-10	7.33362986225103e-07	13.0682847360216	TMEM163
203184_at	4.88579410317127	3.89392530821993	20.917284922911	1.01145127438744e-09	9.20622949947451e-07	12.8090300919732	FBN2
236044_at	5.71285641781714	4.10601000902163	20.1367621496739	1.47909206134269e-09	1.30284154280721e-06	12.472318655416	PLPP4
223734_at	6.79006812014415	5.00462760232038	19.8674311593608	1.69188183954688e-09	1.40326061362357e-06	12.352112682953	MGARP
209994_s_at	-5.94909164029714	7.7669070694714	-19.8627366862876	1.69587637330908e-09	1.40326061362357e-06	12.3499986195096	NA
1556128_a_at	-4.28318273814921	6.38684880622574	-19.7383106447041	1.80560952200686e-09	1.45011687082115e-06	12.2937274678841	RASGRF2
213109_at	4.6781828837338	3.77124399396339	19.6702498466693	1.86890707506662e-09	1.45806790262197e-06	12.262751758716	TNIK
209588_at	5.37507158523835	3.98693251315578	19.5832541473256	1.95337941669926e-09	1.48163828756639e-06	12.2229554363083	EPHB2
202746_at	-6.12113681348565	9.9000396122155	-19.0470702161331	2.57595855644056e-09	1.90105741465313e-06	11.9725421844218	ITM2A
1556314_a_at	-6.20035212902661	7.6809007768009	-18.8111422428209	2.91627856027292e-09	2.04184365043109e-06	11.8594830893252	NA
231361_at	4.19262784687279	3.37845605519426	18.4498402472069	3.53681320472231e-09	2.29943384209875e-06	11.6828180062864	NLGN1
222592_s_at	-4.63978556178073	9.10237031898537	-18.359944827053	3.71278262265815e-09	2.35770330916985e-06	11.6381849767732	ACSL5
202747_s_at	-5.41368784095734	10.6471596652978	-18.0482123813534	4.40138046200036e-09	2.55957325616523e-06	11.4812691931296	ITM2A
212951_at	-4.23149626232196	9.8070439189542	-17.8133256979583	5.01261402195963e-09	2.7374887696726e-06	11.3607946123295	ADGRF5
214240_at	4.06684672419474	3.61348870032485	17.5993548876873	5.65099840333861e-09	2.96742620003008e-06	11.249330571785	GAL
1552626_a_at	4.2316648452256	4.93179401115668	17.5169906919709	5.92003297379301e-09	3.0500456675923e-06	11.2059805127473	TMEM163
205269_at	-5.10273229471825	6.5642864185594	-17.3810662521007	6.39520361899468e-09	3.1750441821867e-06	11.1338931421531	LCP2
201137_s_at	-6.57133096236743	7.55567522199484	-16.8870447279076	8.50807482772206e-09	4.00554295251342e-06	10.8660112003493	HLA-DPB1
226695_at	-6.5626607233385	8.19114403628845	-15.9376109785905	1.50636458596336e-08	6.32812175143314e-06	10.3238801746756	PRRX1
1557051_s_at	4.21713765319571	3.34447617828752	15.8546044438603	1.58588096923591e-08	6.56122208272058e-06	10.2746847954697	HOTAIRM1
213107_at	4.60440545888067	4.14896511319484	15.7955805935766	1.64521443647059e-08	6.7051082689949e-06	10.2395205592564	TNIK
218322_s_at	-5.23497721138732	8.39998247909884	-15.5740505111562	1.89056250929907e-08	7.59172057042946e-06	10.1061695465042	ACSL5
201147_s_at	-5.22193351428729	7.3654634614132	-15.4458726729267	2.05061749970796e-08	8.11509586188776e-06	10.028008717399	TIMP3
210002_at	5.57606958118193	5.06695250004334	15.3095942343773	2.23721169175873e-08	8.72704320788055e-06	9.94408728023528	GATA6
1555725_a_at	5.66542972433049	4.90858038559386	15.0722542704252	2.60811156789668e-08	9.89126312124816e-06	9.79587451636578	RGS5
211990_at	-6.80840698312087	7.00777231387205	-14.870629752597	2.9763494882476e-08	1.08362932168119e-05	9.6678690852547	HLA-DPA1
240466_at	4.67149739697081	4.9464740169866	14.7816294531883	3.15667867805083e-08	1.13416142082705e-05	9.61074097896364	NA
